   -0.3000000000000007105427358E+00,    0.2999999999999999888977698E+00,,   -0.6000000000000014210854715E+00,    0.3673819061467131404855704E-16,,   -0.3000000000000007105427358E+00,   -0.2999999999999999888977698E+00,
   -0.2999402270514508472842863E+00,    0.2999397970084933251477821E+00,,   -0.6000004947364896423778191E+00,   -0.1200000486228829446599953E-03,,   -0.3000602271596370940187626E+00,   -0.3000597970508312450910182E+00,
   -0.2998809079901967322712153E+00,    0.2998791879490363410099008E+00,,   -0.6000019789486970012148959E+00,   -0.2400003892761752924411844E-03,,   -0.3001209088565826021977045E+00,   -0.3001191882880002159694754E+00,
   -0.2998220424947781737046171E+00,    0.2998181726940261082603456E+00,,   -0.6000044526447076975728123E+00,   -0.3600013141405880925938199E-03,,   -0.3001820454196053589157600E+00,   -0.3001781738383215714094376E+00,
   -0.2997636302460691126725578E+00,    0.2997567511155914687925872E+00,,   -0.6000079158380984267751046E+00,   -0.4800031154054132040420733E-03,,   -0.3002436371798964387380693E+00,   -0.3002367538283512993224633E+00,
   -0.2997056709274321661951035E+00,    0.2996949230855932566619515E+00,,   -0.6000123685478833124307130E+00,   -0.6000060852726536719803363E-03,,   -0.3003056844711586848006846E+00,   -0.3002949283843873162780369E+00,
   -0.2996481642246511256644226E+00,    0.2996326884756234099072003E+00,,   -0.6000178107985121300771425E+00,   -0.7200105159614715588656253E-03,,   -0.3003681876294859165454909E+00,   -0.3003526976324726871503401E+00,
   -0.2995911098258723370690859E+00,    0.2995700471570001410803741E+00,,   -0.6000242426198170164752810E+00,   -0.8400166997122489320748429E-03,,   -0.3004311469934197731390668E+00,   -0.3004100616983957916517056E+00,
   -0.2995345074216846370518397E+00,    0.2995069990007653282226840E+00,,   -0.6000316640471066165218872E+00,   -0.9600249287910703893667019E-03,,   -0.3004945629039941223936694E+00,   -0.3004670207076957089142866E+00,
   -0.2994783567050713912749416E+00,    0.2994435438776886226897034E+00,,   -0.6000400751210968053328543E+00,   -0.1080035495493708586067783E-02,,   -0.3005584357046320320705490E+00,   -0.3005235747856592198878900E+00,
   -0.2994226573714460215569488E+00,    0.2993796816582587894117751E+00,,   -0.6000494758879106882432097E+00,   -0.1200048692150200435602159E-02,,   -0.3006227657412381404355983E+00,   -0.3005797240573256923212853E+00,
   -0.2993674091186271368769667E+00,    0.2993154122126855387620026E+00,,   -0.6000598663991638659354066E+00,   -0.1320064811128989629152031E-02,,   -0.3006875533622057616867096E+00,   -0.3006354686474892456971020E+00,
   -0.2993126116467639263873934E+00,    0.2992507354108977501994104E+00,,   -0.6000712467118436421742445E+00,   -0.1440084144841095176170498E-02,,   -0.3007527989183031991160533E+00,   -0.3006908086806998059437035E+00,
   -0.2992582646585599803756850E+00,    0.2991856511225398085329630E+00,,   -0.6000836168884529087108604E+00,   -0.1560106985744592195120006E-02,,   -0.3008185027628584862213756E+00,   -0.3007457442812651038366312E+00,
   -0.2992043678590157185226417E+00,    0.2991201592169712708546570E+00,,   -0.6000969769968769185197743E+00,   -0.1680133626348587899679288E-02,,   -0.3008846652516545816524740E+00,   -0.3008002755732517297104778E+00,
   -0.2991509209554372716866055E+00,    0.2990542595632625366697255E+00,,   -0.6001113271103566404462981E+00,   -0.1800164359217697185311380E-02,,   -0.3009512867428512095102633E+00,   -0.3008544026804893523063811E+00,
   -0.2990979236576727373631002E+00,    0.2989879520301975679430484E+00,,   -0.6001266673076859348157086E+00,   -0.1920199476976539032513358E-02,,   -0.3010183675971767058854311E+00,   -0.3009081257265672215694963E+00,
   -0.2990453756779309912872122E+00,    0.2989212364862660620268286E+00,,   -0.6001429976731600390849053E+00,   -0.2040239272313289220495136E-02,,   -0.3010859081778676227258984E+00,   -0.3009614448348436610558565E+00,
   -0.2989932767307355021557669E+00,    0.2988541127996676149969346E+00,,   -0.6001603182963073379596608E+00,   -0.2160284037984940008758628E-02,,   -0.3011539088505372774307034E+00,   -0.3010143601284444025978360E+00,
   -0.2989416265330575583902828E+00,    0.2987865808383038945805765E+00,,   -0.6001786292722357529783039E+00,   -0.2280334066820786931284459E-02,,   -0.3012223699833231904676722E+00,   -0.3010668717302616981257302E+00,
   -0.2988904248042612010749508E+00,    0.2987186404697833586041611E+00,,   -0.6001979307015243847445163E+00,   -0.2400389651726834994160953E-02,,   -0.3012912919469563632901554E+00,   -0.3011189797629612030505086E+00,
   -0.2988396712660055243304669E+00,    0.2986502915614135944544216E+00,,   -0.6002182226900902861643772E+00,   -0.2520451085690655901316859E-02,,   -0.3013606751144770612427237E+00,   -0.3011706843489797003066144E+00,
   -0.2987893656423885602180235E+00,    0.2985815339802028178795013E+00,,   -0.6002395053494105070512887E+00,   -0.2640518661785197507274603E-02,,   -0.3014305198615172542986329E+00,   -0.3012219856105287640879453E+00,
   -0.2987395076599277388140763E+00,    0.2985123675928547659630397E+00,,   -0.6002617787962929440936932E+00,   -0.2760592673173072053582899E-02,,   -0.3015008265662508790683205E+00,   -0.3012728836695980350057766E+00,
   -0.2986900970474621885841771E+00,    0.2984427922657706400144662E+00,,   -0.6002850431530788455347647E+00,   -0.2880673413110469704978556E-02,,   -0.3015715956093014682437570E+00,   -0.3013233786479546094660975E+00,
   -0.2986411335361207619598645E+00,    0.2983728078650449422326574E+00,,   -0.6003092985475220189073298E+00,   -0.3000761174952640275570559E-02,,   -0.3016428273737457033121245E+00,   -0.3013734706671472585171045E+00,
   -0.2985926168595796070803772E+00,    0.2983024142564655312170885E+00,,   -0.6003345451129025178715892E+00,   -0.3120856252156960219945603E-02,,   -0.3017145222452874975260784E+00,   -0.3014231598485064833603531E+00,
   -0.2985445467537566344162769E+00,    0.2982316113055094586314908E+00,,   -0.6003607829878898627384842E+00,   -0.3240958938288081292444787E-02,,   -0.3017866806121389799955068E+00,   -0.3014724463131468468191088E+00,
