    0.1030000000000000071054274E+02,    0.0000000000000000000000000E+00,,    0.1000000000000000000000000E+02,    0.2999999999999999888977698E+00,,    0.9699999999999999289457264E+01,    0.3673819061467131404855704E-16,,    0.1000000000000000000000000E+02,   -0.2999999999999999888977698E+00,
    0.1029999523384717896590246E+02,    0.2059999690577829587617709E-02,,    0.1000005500679572811861817E+02,    0.3019997966990711768531241E+00,,    0.9699994739110689323524639E+01,    0.1939999641954946642957713E-02,,    0.9999935006687541871883695E+01,   -0.2979997973602533933856762E+00,
    0.1029998093538054781959090E+02,    0.4119997522761584263228940E-02,,    0.1000010002739035108731969E+02,    0.3039991854717979391509175E+00,,    0.9699978956431850818376006E+01,    0.3879997133485408970787756E-02,,    0.9999860026523965217393197E+01,   -0.2959991907652386178284587E+00,
    0.1029995710457560775807906E+02,    0.6179991637214235500330517E-02,,    0.1000013506208082958437444E+02,    0.3059981643312403298828883E+00,,    0.9699952651930900060506247E+01,    0.5819990323073647407736697E-02,,    0.9999775059156002399163299E+01,   -0.2939981822011073497868949E+00,
    0.1029992374139149369227653E+02,    0.8239980174572107685104783E-02,,    0.1000016011114542457960397E+02,    0.3079967312901635834165859E+00,,    0.9699915825553395265501422E+01,    0.7759977059166694481062709E-02,,    0.9999680104211597253538457E+01,   -0.2919967736537791846984646E+00,
    0.1029988084577104956451876E+02,    0.1029996127543154546546411E-01,,    0.1000017517484361739832366E+02,    0.3099948843610247917190748E+00,,    0.9699868477223166252088049E+01,    0.9699955190158891793483775E-02,,    0.9999575161299890879718077E+01,   -0.2899949671089557812209137E+00,
    0.1029982841764075374157983E+02,    0.1235993308033572248005871E-01,,    0.1000018025341610261591541E+02,    0.3119926215559591375914295E+00,,    0.9699810606842241611502686E+01,    0.1163992256437425092119309E-01,,    0.9999460230011267825034338E+01,   -0.2879927645521369594661110E+00,
    0.1029976645691072612009975E+02,    0.1441989372976110184154663E-01,,    0.1000017534708485378303067E+02,    0.3139899408867612429219207E+00,,    0.9699742214290909103624472E+01,    0.1357987703004885290947179E-01,,    0.9999335309917306346960686E+01,   -0.2859901679686346898101590E+00,
    0.1029969496347478319364654E+02,    0.1647984136410440142439526E-01,,    0.1000016045605309855659470E+02,    0.3159868403648697365859732E+00,,    0.9699663299427676577124657E+01,    0.1551981643531333103502856E-01,,    0.9999200400570789071252875E+01,   -0.2839871793435913005509974E+00,
    0.1029961393721034568216055E+02,    0.1853977412366892771333760E-01,,    0.1000013558050527429088561E+02,    0.3179833180013575399947001E+00,,    0.9699573862089248876827696E+01,    0.1745973862817521912726981E-01,,    0.9999055501505713650090001E+01,   -0.2819838006619903025828933E+00,
    0.1029952337797854511336482E+02,    0.2059969014865153241755635E-01,,    0.1000010072060709909180787E+02,    0.3199793718069103287682253E+00,,    0.9699473902090634425121607E+01,    0.1939964145650133198195419E-01,,    0.9998900612237306972929218E+01,   -0.2799800339086741529648350E+00,
    0.1029942328562413145220944E+02,    0.2265958757912918744570341E-01,,    0.1000005587650550431533247E+02,    0.3219749997918147088604712E+00,,    0.9699363419224967586274033E+01,    0.2133952276800019781655138E-01,,    0.9998735732261925690522730E+01,   -0.2779758810683600755986333E+00,
    0.1029931365997549441715364E+02,    0.2471946455504564141292256E-01,,    0.1000000104832873049076625E+02,    0.3239701999659433950817800E+00,,    0.9699242413263650774979396E+01,    0.2327938041020454623675207E-01,,    0.9998560861057191218037588E+01,   -0.2759713441256541610613340E+00,
    0.1029919450084473275808250E+02,    0.2677931921619823227298518E-01,,    0.9999936236186172777706815E+01,    0.3259649703387380581531829E+00,,    0.9699110883956279849371640E+01,    0.2521921223045364007786517E-01,,    0.9998375998081874271861125E+01,   -0.2739664250650668542164112E+00,
    0.1029906580802758853110390E+02,    0.2883914970222414483891349E-01,,    0.9999861440168572812581260E+01,    0.3279593089191953914074418E+00,,    0.9698968831030711612584128E+01,    0.2715901607587555693923420E-01,,    0.9998181142775933949451428E+01,   -0.2719611258710276091576930E+00,
    0.1029892758130332452992661E+02,    0.3089895415258754260423579E-01,,    0.9999776660347887258240007E+01,    0.3299532137158500688656204E+00,,    0.9698816254192967889480315E+01,    0.2909878979336984541892441E-01,,    0.9997976294560473320416349E+01,   -0.2699554485279018201104861E+00,
    0.1029877982043499073938619E+02,    0.3295873070656621384166840E-01,,    0.9999681896777318002023094E+01,    0.3319466827367637540291412E+00,,    0.9698653153127304804570485E+01,    0.3103853122958967480915504E-01,,    0.9997761452837814033500763E+01,   -0.2679493950200010354834035E+00,
    0.1029862252516927867418417E+02,    0.3501847750323742319844555E-01,,    0.9999577149491347682896958E+01,    0.3339397139895035060419559E+00,,    0.9698479527496118635099265E+01,    0.3297823823092413397795042E-01,,    0.9997536616991411051458272E+01,   -0.2659429673316062170407292E+00,
    0.1029845569523643256104606E+02,    0.3707819268146595598212301E-01,,    0.9999462418505697058890291E+01,    0.3359323054811335640401637E+00,,    0.9698295376940125223086397E+01,    0.3491790864348101597336438E-01,,    0.9997301786385895283615355E+01,   -0.2639361674469784535546069E+00,
    0.1029827933035038789455484E+02,    0.3913787437988955342227371E-01,,    0.9999337703817330336164559E+01,    0.3379244552181934202472746E+00,,    0.9698100701078152141576538E+01,    0.3685754031306876649098925E-01,,    0.9997056960367064704087170E+01,   -0.2619289973503721724590321E+00,
    0.1029809343020873768637102E+02,    0.4119752073690598204169788E-01,,    0.9999203005404476485296072E+01,    0.3399161612066893267680712E+00,,    0.9697895499507213301626507E+01,    0.3879713108517914704753693E-01,,    0.9996802138261781323080868E+01,   -0.2599214590260552348865986E+00,
    0.1029789799449262055475174E+02,    0.4325712989065993996362636E-01,,    0.9999058323226615030421272E+01,    0.3419074214520735344180480E+00,,    0.9697679771802530268587361E+01,    0.4073667880496928406230950E-01,,    0.9996537319378143493509015E+01,   -0.2579135544583197603429880E+00,
    0.1029769302286687882030947E+02,    0.4531669997902926239063959E-01,,    0.9998903657224490260091443E+01,    0.3438982339592320802701408E+00,,    0.9697453517517468313258178E+01,    0.4267618131724406488336498E-01,,    0.9996262503005361566010833E+01,   -0.2559052856314995016973057E+00,
    0.1029747851497998389902477E+02,    0.4737622913961182791187099E-01,,    0.9998739007320056160210697E+01,    0.3458885967324665799971228E+00,,    0.9697216736183690954931080E+01,    0.4461563646643875585828809E-01,,    0.9995977688413733019956453E+01,   -0.2538966545299862209716935E+00,
    0.1029725447046398656425481E+02,    0.4943571550971182643197110E-01,,    0.9998564373416524375670633E+01,    0.3478785077754824595075434E+00,,    0.9696969427310907718720046E+01,    0.4655504209660135672699255E-01,,    0.9995682874854685096011053E+01,   -0.2518876631382427899730203E+00,
    0.1029702088893457201379533E+02,    0.5149515722632699854521832E-01,,    0.9998379755398451251835468E+01,    0.3498679650913719685334513E+00,,    0.9696711590387049994888002E+01,    0.4849439605137435826964776E-01,,    0.9995378061560826310483208E+01,   -0.2498783134408202599718862E+00,
    0.1029677776999107940980593E+02,    0.5355455242613469529766590E-01,,    0.9998185153131499802725557E+01,    0.3518569666826002473314361E+00,,    0.9696443224878176891934345E+01,    0.5043369617397773507772030E-01,,    0.9995063247745791912279856E+01,   -0.2478686074223717950015811E+00,
    0.1029652511321641128461124E+02,    0.5561389924547864571646727E-01,,    0.9997980566462654650194963E+01,    0.3538455105509881182257459E+00,,    0.9696164330228521421872756E+01,    0.5237294030719056442402248E-01,,    0.9994738432604272304615733E+01,   -0.2458585470676682149804293E+00,
    0.1029626291817712058218603E+02,    0.5767319582035571740030733E-01,,    0.9997765995220117218877931E+01,    0.3558335946976952102183134E+00,,    0.9695874905860470960305975E+01,    0.5431212629333427577282833E-01,,    0.9994403615312114297353219E+01,   -0.2438481343616140384344959E+00,
    0.1029599118442333605116801E+02,    0.5973244028640203179270074E-01,,    0.9997541439213387448603498E+01,    0.3578212171232110216934075E+00,,    0.9695574951174547706500562E+01,    0.5625125197425371453840981E-01,,    0.9994058795026292685292901E+01,   -0.2418373712892620541747846E+00,
    0.1029570991148874981035988E+02,    0.6179163077888023825057218E-01,,    0.9997306898233077276927361E+01,    0.3598083758273342147582241E+00,,    0.9695264465549390919818507E+01,    0.5819031519130051649524304E-01,,    0.9993703970884794784979022E+01,   -0.2398262598358295305533971E+00,
    0.1029541909889070261385768E+02,    0.6385076543266550441746432E-01,,    0.9997062372051161105446226E+01,    0.3617950688091581268324148E+00,,    0.9694943448341829750347642E+01,    0.6012931378531453929792150E-01,,    0.9993339142006625763769989E+01,   -0.2378148019867118434511610E+00,
    0.1029511874613013411305928E+02,    0.6590984238223272784207296E-01,,    0.9996807860420783953259161E+01,    0.3637812940670566708156741E+00,,    0.9694611898886755341209209E+01,    0.6206824559660685525219748E-01,,    0.9992964307491885023182476E+01,   -0.2358029997275010447577159E+00,
    0.1029480885269156686945280E+02,    0.6796885976164203368998784E-01,,    0.9996543363076343169382199E+01,    0.3657670495986681258315798E+00,,    0.9694269816497156355694642E+01,    0.6400710846494120365157698E-01,,    0.9992579466421743106252507E+01,   -0.2337908550439963817346722E+00,
    0.1029448941804303530034304E+02,    0.7002781570452649984037663E-01,,    0.9996268879733436918400002E+01,    0.3677523334008822586405074E+00,,    0.9693917200464159833472877E+01,    0.6594590022951718477628447E-01,,    0.9992184617858386630473433E+01,   -0.2317783699222252524752008E+00,
