  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
  1.000000000000000E-003,  2.068929061031808E-005,  2.068931102983280E-005
  2.000000000000000E-003,  4.137837702569043E-005,  4.137841786451835E-005
  3.000000000000000E-003,  6.206705505318667E-005,  6.206711631092472E-005
  4.000000000000000E-003,  8.275512050390701E-005,  8.275520217995060E-005
  5.000000000000000E-003,  1.034423691949975E-004,  1.034424712885406E-004
  6.000000000000000E-003,  1.241285969516655E-004,  1.241287194617003E-004
  7.000000000000000E-003,  1.448135996091943E-004,  1.448137425345119E-004
  8.000000000000000E-003,  1.654971730149586E-004,  1.654973363541482E-004
  9.000000000000001E-003,  1.861791130304392E-004,  1.861792967818887E-004
  1.000000000000000E-002,  2.068592155332376E-004,  2.068594196951336E-004
  1.100000000000000E-002,  2.275372764190912E-004,  2.275375009894187E-004
  1.200000000000000E-002,  2.482130916038871E-004,  2.482133365804295E-004
  1.300000000000000E-002,  2.688864570256765E-004,  2.688867224060161E-004
  1.400000000000001E-002,  2.895571686466889E-004,  2.895574544282065E-004
  1.500000000000001E-002,  3.102250224553457E-004,  3.102253286352208E-004
  1.600000000000001E-002,  3.308898144682738E-004,  3.308901410434844E-004
  1.700000000000001E-002,  3.515513407323187E-004,  3.515516876996418E-004
  1.800000000000001E-002,  3.722093973265576E-004,  3.722097646825686E-004
  1.900000000000001E-002,  3.928637803643118E-004,  3.928641681053852E-004
  2.000000000000001E-002,  4.135142859951594E-004,  4.135146941174683E-004
  2.100000000000001E-002,  4.341607104069468E-004,  4.341611389064631E-004
  2.200000000000001E-002,  4.548028498278001E-004,  4.548032987002948E-004
  2.300000000000001E-002,  4.754405005281370E-004,  4.754409697691798E-004
  2.400000000000001E-002,  4.960734588226767E-004,  4.960739484276364E-004
  2.500000000000002E-002,  5.167015210724510E-004,  5.167020310364955E-004
  2.600000000000002E-002,  5.373244836868130E-004,  5.373250140049092E-004
  2.700000000000002E-002,  5.579421431254477E-004,  5.579426937923614E-004
  2.800000000000002E-002,  5.785542959003800E-004,  5.785548669106765E-004
  2.900000000000002E-002,  5.991607385779839E-004,  5.991613299260274E-004
  3.000000000000002E-002,  6.197612677809889E-004,  6.197618794609431E-004
  3.100000000000002E-002,  6.403556801904886E-004,  6.403563121963165E-004
  3.200000000000002E-002,  6.609437725479469E-004,  6.609444248734109E-004
  3.300000000000002E-002,  6.815253416572040E-004,  6.815260142958658E-004
  3.400000000000002E-002,  7.021001843864818E-004,  7.021008773317027E-004
  3.500000000000002E-002,  7.226680976703889E-004,  7.226688109153300E-004
  3.600000000000003E-002,  7.432288785119250E-004,  7.432296120495467E-004
  3.700000000000003E-002,  7.637823239844837E-004,  7.637830778075463E-004
  3.800000000000003E-002,  7.843282312338561E-004,  7.843290053349197E-004
  3.900000000000003E-002,  8.048663974802325E-004,  8.048671918516571E-004
  4.000000000000003E-002,  8.253966200202034E-004,  8.253974346541488E-004
  4.100000000000003E-002,  8.459186962287608E-004,  8.459195311171869E-004
  4.200000000000003E-002,  8.664324235612977E-004,  8.664332786959644E-004
  4.300000000000003E-002,  8.869375995556068E-004,  8.869384749280744E-004
  4.400000000000003E-002,  9.074340218338796E-004,  9.074349174355085E-004
  4.500000000000003E-002,  9.279214881047029E-004,  9.279224039266538E-004
  4.600000000000003E-002,  9.483997961650556E-004,  9.484007321982898E-004
  4.700000000000003E-002,  9.688687439023046E-004,  9.688697001375838E-004
  4.800000000000004E-002,  9.893281292961994E-004,  9.893291057240859E-004
  4.900000000000004E-002,  1.009777750420866E-003,  1.009778747031723E-003
  5.000000000000004E-002,  1.030217405446799E-003,  1.030218422230791E-003
  5.100000000000004E-002,  1.050646892642857E-003,  1.050647929589947E-003
  5.200000000000004E-002,  1.071066010378247E-003,  1.071067067478202E-003
  5.300000000000004E-002,  1.091474557124522E-003,  1.091475634366909E-003
  5.400000000000004E-002,  1.111872331457564E-003,  1.111873428831750E-003
  5.500000000000004E-002,  1.132259132059576E-003,  1.132260249554731E-003
  5.600000000000004E-002,  1.152634757721066E-003,  1.152635895326161E-003
  5.700000000000004E-002,  1.172999007342834E-003,  1.173000165046641E-003
  5.800000000000004E-002,  1.193351679937959E-003,  1.193352857729052E-003
  5.900000000000005E-002,  1.213692574633779E-003,  1.213693772500533E-003
  6.000000000000005E-002,  1.234021490673874E-003,  1.234022708604468E-003
  6.100000000000005E-002,  1.254338227420051E-003,  1.254339465402464E-003
  6.200000000000005E-002,  1.274642584354320E-003,  1.274643842376333E-003
  6.300000000000004E-002,  1.294934361080876E-003,  1.294935639130073E-003
  6.400000000000004E-002,  1.315213357328074E-003,  1.315214655391842E-003
  6.500000000000004E-002,  1.335479372950409E-003,  1.335480691015935E-003
  6.600000000000004E-002,  1.355732207930487E-003,  1.355733545984764E-003
  6.700000000000005E-002,  1.375971662381004E-003,  1.375973020410825E-003
