   -0.5000000000000000000000000E+01,    0.3846153846153845673461191E-01,    0.3846153846153846367350582E-01,   -0.6938893903907228377647698E-17,      0.00%
   -0.4998333333333333072800997E+01,    0.8575980029875598931177194E-01,    0.3848620499399134364804098E-01,    0.4727359530476464566373096E-01,    122.83%
   -0.4996666666666667033780413E+01,    0.1323357659348257664433390E+00,    0.3851089494612967151221383E-01,    0.9382487098869610187001911E-01,    243.63%
   -0.4995000000000000106581410E+01,    0.1781963504316459445675491E+00,    0.3853560834719812339121958E-01,    0.1396607420844478142374356E+00,    362.42%
   -0.4993333333333333179382407E+01,    0.2233484191962188392110988E+00,    0.3856034522648633250385686E-01,    0.1847880739697325136461359E+00,    479.22%
   -0.4991666666666666252183404E+01,    0.2677987882637420380405047E+00,    0.3858510561332901406261797E-01,    0.2292136826504130309167806E+00,    594.05%
   -0.4990000000000000213162821E+01,    0.3115542245793035402989801E+00,    0.3860988953710603466262796E-01,    0.2729443350421975056363522E+00,    706.93%
   -0.4988333333333333285963818E+01,    0.3546214462783204290907690E+00,    0.3863469702724250942615924E-01,    0.3159867492510779474201854E+00,    817.88%
   -0.4986666666666666358764815E+01,    0.3970071229655482425435764E+00,    0.3865952811320884363599504E-01,    0.3583475948523394127853692E+00,    926.93%
   -0.4985000000000000319744231E+01,    0.4387178759929105664738813E+00,    0.3868438282452086457441354E-01,    0.4000334931683897088383617E+00,   1034.10%
   -0.4983333333333333392545228E+01,    0.4797602787361048282122056E+00,    0.3870926119073988397323305E-01,    0.4410510175453649650556542E+00,   1139.39%
   -0.4981666666666666465346225E+01,    0.5201408568696905820871734E+00,    0.3873416324147275352496322E-01,    0.4814066936282178077455285E+00,   1242.85%
   -0.4980000000000000426325641E+01,    0.5598660886411029879994317E+00,    0.3875908900637198978289533E-01,    0.5211069996347309496442790E+00,   1344.48%
   -0.4978333333333333499126638E+01,    0.5989424051434200091392768E+00,    0.3878403851513584355004127E-01,    0.5601583666282841100780843E+00,   1444.30%
   -0.4976666666666666571927635E+01,    0.6373761905865593657694035E+00,    0.3880901179750837620696657E-01,    0.5985671787890509687457552E+00,   1542.34%
   -0.4974999999999999644728632E+01,    0.6751737825677077697861250E+00,    0.3883400888327953603962328E-01,    0.6363397736844282892576530E+00,   1638.61%
   -0.4973333333333333605708049E+01,    0.7123414723398004966270491E+00,    0.3885902980228525538386464E-01,    0.6734824425375152134876089E+00,   1733.14%
