   -0.5000000000000000000000000E+01,    0.3846153846153880367930711E-01,    0.3846153846153846367350582E-01,    0.3400058012914541905047372E-15,      0.00%
   -0.4998333333333333072800997E+01,    0.3846181092940061801987994E-01,    0.3848620499399134364804098E-01,   -0.2439406459072562816103868E-04,     -0.06%
   -0.4996666666666667033780413E+01,    0.3846262635964030340840480E-01,    0.3851089494612967151221383E-01,   -0.4826858648936810380902784E-04,     -0.13%
   -0.4995000000000000106581410E+01,    0.3846398179223918523117476E-01,    0.3853560834719812339121958E-01,   -0.7162655495893816004482346E-04,     -0.19%
   -0.4993333333333333179382407E+01,    0.3846587426717861663005849E-01,    0.3856034522648633250385686E-01,   -0.9447095930771587379837229E-04,     -0.24%
   -0.4991666666666666252183404E+01,    0.3846830082443989523577343E-01,    0.3858510561332901406261797E-01,   -0.1168047888891188268445376E-03,     -0.30%
   -0.4990000000000000213162821E+01,    0.3847125850400438806797609E-01,    0.3860988953710603466262796E-01,   -0.1386310331016465946518679E-03,     -0.36%
   -0.4988333333333333285963818E+01,    0.3847474434585341357406563E-01,    0.3863469702724250942615924E-01,   -0.1599526813890958520936181E-03,     -0.41%
   -0.4986666666666666358764815E+01,    0.3847875538996831101812290E-01,    0.3865952811320884363599504E-01,   -0.1807727232405326178721339E-03,     -0.47%
   -0.4985000000000000319744231E+01,    0.3848328867633041272533490E-01,    0.3868438282452086457441354E-01,   -0.2010941481904518490786415E-03,     -0.52%
   -0.4983333333333333392545228E+01,    0.3848834124492105795978247E-01,    0.3870926119073988397323305E-01,   -0.2209199458188260134505754E-03,     -0.57%
   -0.4981666666666666465346225E+01,    0.3849391013572157210775870E-01,    0.3873416324147275352496322E-01,   -0.2402531057511814172045206E-03,     -0.62%
   -0.4980000000000000426325641E+01,    0.3849999238871330137223836E-01,    0.3875908900637198978289533E-01,   -0.2590966176586884106569642E-03,     -0.67%
   -0.4978333333333333499126638E+01,    0.3850658504387757807840842E-01,    0.3878403851513584355004127E-01,   -0.2774534712582654716328534E-03,     -0.72%
   -0.4976666666666666571927635E+01,    0.3851368514119573455145584E-01,    0.3880901179750837620696657E-01,   -0.2953266563126416555107312E-03,     -0.76%
   -0.4974999999999999644728632E+01,    0.3852128972064910311656760E-01,    0.3883400888327953603962328E-01,   -0.3127191626304329230556789E-03,     -0.81%
   -0.4973333333333333605708049E+01,    0.3852939582221902303782457E-01,    0.3885902980228525538386464E-01,   -0.3296339800662323460400671E-03,     -0.85%
   -0.4971666666666666678509046E+01,    0.3853800048588681970151981E-01,    0.3888407458440755470885364E-01,   -0.3460740985207350073338262E-03,     -0.89%
   -0.4969999999999999751310042E+01,    0.3854710075163384624952201E-01,    0.3890914325957457037263865E-01,   -0.3620425079407241231166381E-03,     -0.93%
   -0.4968333333333333712289459E+01,    0.3855669365944140725144251E-01,    0.3893423585776068646113757E-01,   -0.3775421983192792096950541E-03,     -0.97%
   -0.4966666666666666785090456E+01,    0.3856677624929086972693781E-01,    0.3895935240898662499375860E-01,   -0.3925761596957552668207825E-03,     -1.01%
   -0.4964999999999999857891453E+01,    0.3857734556116353824561926E-01,    0.3898449294331947367897584E-01,   -0.4071473821559354333565750E-03,     -1.04%
   -0.4963333333333332930692450E+01,    0.3858839863504078676603726E-01,    0.3900965749087283163110129E-01,   -0.4212588558320448650640344E-03,     -1.08%
   -0.4961666666666666891671866E+01,    0.3859993251090389904112143E-01,    0.3903484608180684406475436E-01,   -0.4349135709029450236329239E-03,     -1.11%
   -0.4959999999999999964472863E+01,    0.3861194422873424902942219E-01,    0.3906005874632835495052774E-01,   -0.4481145175941059211055517E-03,     -1.15%
   -0.4958333333333333037273860E+01,    0.3862443082851316905612649E-01,    0.3908529551469091395388133E-01,   -0.4608646861777448977548488E-03,     -1.18%
   -0.4956666666666666998253277E+01,    0.3863738935022195675195178E-01,    0.3911055641719490827412642E-01,   -0.4731670669729515221746396E-03,     -1.21%
   -0.4955000000000000071054274E+01,    0.3865081683384199301434236E-01,    0.3913584148418765285004639E-01,   -0.4850246503456598357040264E-03,     -1.24%
   -0.4953333333333333143855270E+01,    0.3866471031935458935180350E-01,    0.3916115074606343893215410E-01,   -0.4964404267088495803506021E-03,     -1.27%
   -0.4951666666666667104834687E+01,    0.3867906684674107808952215E-01,    0.3918648423326363816610041E-01,   -0.5074173865225600765782588E-03,     -1.29%
   -0.4950000000000000177635684E+01,    0.3869388345598281930826090E-01,    0.3921184197627683443165836E-01,   -0.5179585202940151233974575E-03,     -1.32%
   -0.4948333333333333250436681E+01,    0.3870915718706111063873720E-01,    0.3923722400563882384272318E-01,   -0.5280668185777132039859794E-03,     -1.35%
   -0.4946666666666666323237678E+01,    0.3872488507995731216171365E-01,    0.3926263035193277434187209E-01,   -0.5377452719754621801584449E-03,     -1.37%
   -0.4945000000000000284217094E+01,    0.3874106417465273538569548E-01,    0.3928806104578924651704597E-01,   -0.5469968711365111313504883E-03,     -1.39%
   -0.4943333333333333357018091E+01,    0.3875769151112874039144529E-01,    0.3931351611788638789057870E-01,   -0.5558246067576474991334123E-03,     -1.41%
   -0.4941666666666666429819088E+01,    0.3877476412936665256525615E-01,    0.3933899559894987046915205E-01,   -0.5642314695832179038958998E-03,     -1.43%
   -0.4940000000000000390798505E+01,    0.3879227906934779035452721E-01,    0.3936449951975309891061272E-01,   -0.5722204504053085560855152E-03,     -1.45%
   -0.4938333333333333463599502E+01,    0.3881023337105352771780886E-01,    0.3939002791111727991291147E-01,   -0.5797945400637521951026088E-03,     -1.47%
   -0.4936666666666666536400498E+01,    0.3882862407446514146913685E-01,    0.3941558080391142915299696E-01,   -0.5869567294462876838601062E-03,     -1.49%
   -0.4934999999999999609201495E+01,    0.3884744821956403332263719E-01,    0.3944115822905255863695118E-01,   -0.5937100094885253143139892E-03,     -1.51%
   -0.4933333333333333570180912E+01,    0.3886670284633148009234560E-01,    0.3946676021750569751667115E-01,   -0.6000573711742174243255477E-03,     -1.52%
   -0.4931666666666666642981909E+01,    0.3888638499474884879791858E-01,    0.3949238680028403780664092E-01,   -0.6060018055351890087223410E-03,     -1.53%
   -0.4929999999999999715782906E+01,    0.3890649170479747870343701E-01,    0.3951803800844896213950719E-01,   -0.6115463036514834360701798E-03,     -1.55%
   -0.4928333333333333676762322E+01,    0.3892702001645866743961832E-01,    0.3954371387311014784948782E-01,   -0.6166938566514804098694924E-03,     -1.56%
   -0.4926666666666666749563319E+01,    0.3894796696971378202611902E-01,    0.3956941442542571962803777E-01,   -0.6214474557119376019187484E-03,     -1.57%
   -0.4924999999999999822364316E+01,    0.3896932960454414784923216E-01,    0.3959513969660224258495518E-01,   -0.6258100920580947357230173E-03,     -1.58%
   -0.4923333333333333783343733E+01,    0.3899110496093109723414472E-01,    0.3962088971789486102625943E-01,   -0.6297847569637637921147189E-03,     -1.59%
   -0.4921666666666666856144730E+01,    0.3901329007885596250604365E-01,    0.3964666452060739559870584E-01,   -0.6333744417514330926621824E-03,     -1.60%
   -0.4919999999999999928945726E+01,    0.3903588199830010374569156E-01,    0.3967246413609242655651244E-01,   -0.6365821377923228108208775E-03,     -1.60%
   -0.4918333333333333001746723E+01,    0.3905887775924482552269978E-01,    0.3969828859575134233361737E-01,   -0.6394108365065168109175886E-03,     -1.61%
   -0.4916666666666666962726140E+01,    0.3908227440167146016225530E-01,    0.3972413793103447832155695E-01,   -0.6418635293630181593016459E-03,     -1.62%
   -0.4915000000000000035527137E+01,    0.3910606896556135386733288E-01,    0.3975001217344122789176808E-01,   -0.6439432078798740244351961E-03,     -1.62%
   -0.4913333333333333108328134E+01,    0.3913025849089586671869512E-01,    0.3977591135452004933448222E-01,   -0.6456528636241826157871060E-03,     -1.62%
   -0.4911666666666667069307550E+01,    0.3915484001765626165258993E-01,    0.3980183550586861157549734E-01,   -0.6469954882123499229074071E-03,     -1.63%
   -0.4910000000000000142108547E+01,    0.3917981058582396119982505E-01,    0.3982778465913390519848036E-01,   -0.6479740733099439986553136E-03,     -1.63%
   -0.4908333333333333214909544E+01,    0.3920516723538024911333011E-01,    0.3985375884601227020054282E-01,   -0.6485916106320210872127063E-03,     -1.63%
   -0.4906666666666666287710541E+01,    0.3923090700630646465718598E-01,    0.3987975809824954864790669E-01,   -0.6488510919430839907207087E-03,     -1.63%
